target,model,chain,res,patch_qs,patch_dockq,lddt,cad,global_qs_best,global_tm_score,chain_number,X999,X365,X494,X426,X041,X121,X101,X248,X158,X083,X266,X248_2,X468,X168,X245,X089,n_trg_chains
H1106.pdb,H1106TS367_3,A,64,0.929314737633119,0.713,0.665,0.775,0.895,0.45899,2,0.51,,0.35,0.396,0.9685,0.35,,0,0.438384294509888,0.8703,0.7993,1,0.351,0.505,0.48,,2
H1106.pdb,H1106TS367_3,A,65,0.863202322107907,0.738,0.642,0.648,0.895,0.45899,2,0.25,,0.97,0.397,0.9983,0.97,,,0.443580597639084,0.811,0.7641,0,0.85,0.502,0.42,,2
H1106.pdb,H1106TS367_3,A,67,0.64239301442404,0.536,0.444,0.218,0.895,0.45899,2,0.77,,0.99,0.397,0.9583,0.99,,,0.280171066522598,0.7858,0.7391,1,0.946,0.498,0.45,,2
H1106.pdb,H1106TS367_3,A,69,0.658208332924281,0.509,0.436,0.553,0.895,0.45899,2,0.7,,0.98,0.396,0.92,0.98,,1,0.261731952428818,0.7268,0.755,1,0.819,0.502,0.32,,2
H1106.pdb,H1106TS367_3,A,70,0.661380586034097,0.514,0.384,0.503,0.895,0.45899,2,0.44,,1,0.398,0.9601,1,,,0.237933620810509,0.7615,0.745,1,0.783,0.505,0.34,,2
H1106.pdb,H1106TS367_3,A,79,0.721454747021173,0.618,0.809,0.778,0.895,0.45899,2,0.7,,1,0.396,0.9605,1,,1,0.125458031892776,0.8607,0.8103,1,0.465,0.498,0.6,,2
H1106.pdb,H1106TS367_3,A,80,0.954352895976469,0.945,0.862,0.923,0.895,0.45899,2,0.28,,1,0.396,0.9726,1,,,0.310213804244995,0.8696,0.7963,1,0.387,0.498,0.57,,2
H1106.pdb,H1106TS367_3,A,82,0.963667254498677,0.983,0.914,0.873,0.895,0.45899,2,0.28,,1,0.396,0.9663,1,,1,0.192353919148445,0.9055,0.8431,1,0.346,0.502,0.62,,2
H1106.pdb,H1106TS367_3,A,83,0.967758575136897,0.986,0.927,0.93,0.895,0.45899,2,0.7,,1,0.397,0.9649,1,,,0.203866615891457,0.8622,0.8124,1,0.253,0.505,0.6,,2
H1106.pdb,H1106TS367_3,A,86,,,0.94,0.888,0.895,0.45899,2,0.46,,1,0.396,0.9593,1,,1,0.236628025770187,0.869,0.8147,1,0.255,0.502,0.58,,2
H1106.pdb,H1106TS367_3,A,87,0.982439730755113,0.991,0.941,0.901,0.895,0.45899,2,0.43,,1,0.397,0.9588,1,,,0.197077602148056,0.8744,0.8194,1,0.165,0.502,0.68,,2
H1106.pdb,H1106TS367_3,A,89,,,0.943,0.872,0.895,0.45899,2,1,,1,0.397,0.9407,1,,1,0.348023116588592,0.814,0.8003,1,0.217,0.502,0.48,,2
H1106.pdb,H1106TS367_3,A,90,,,0.877,0.851,0.895,0.45899,2,0.77,,1,0.397,0.9596,1,,,0.246682420372963,0.8465,0.8298,1,0.197,0.511,0.52,,2
H1106.pdb,H1106TS367_3,A,92,0.95433220311684,0.926,0.919,0.755,0.895,0.45899,2,0.75,,1,0.396,0.956,1,,,0.324942290782928,0.903,0.838,1,0.197,0.498,0.59,,2
H1106.pdb,H1106TS367_3,A,94,0.957689767531563,0.933,0.697,0.58,0.895,0.45899,2,0.94,,1,0.395,0.9632,1,,1,0.210340589284897,0.8847,0.8216,1,0.135,0.498,0.56,,2
H1106.pdb,H1106TS367_3,A,95,0.964910539813908,0.962,0.953,0.916,0.895,0.45899,2,0.72,,1,0.397,0.965,1,,,0.194232419133186,0.8786,0.8375,1,0.14,0.505,0.53,,2
H1106.pdb,H1106TS367_3,A,97,0.967231726258935,0.983,0.896,0.906,0.895,0.45899,2,0.67,,1,0.396,0.9597,1,,1,0.132509395480156,0.9101,0.8498,1,0.111,0.508,0.58,,2
H1106.pdb,H1106TS367_3,A,98,0.965958229793725,0.987,0.932,0.92,0.895,0.45899,2,1,,1,0.397,0.97,1,,,0.167324036359787,0.8808,0.845,1,0.113,0.502,0.61,,2
H1106.pdb,H1106TS367_3,A,101,0.965478230399771,0.937,0.893,0.878,0.895,0.45899,2,0.72,,1,0.397,0.9687,1,,1,0.404619067907333,0.8787,0.8044,1,0.11,0.502,0.61,,2
H1106.pdb,H1106TS367_3,A,102,0.949351741847396,0.93,0.915,0.862,0.895,0.45899,2,0.25,,1,0.398,0.9895,1,,,0.482716053724289,0.8635,0.8048,1,0.152,0.505,0.65,,2
H1106.pdb,H1106TS367_3,A,105,0.926458989140192,0.907,0.706,0.595,0.895,0.45899,2,0.23,,1,0.396,0.9863,1,,,0.671719253063202,0.8396,0.7631,1,0.166,0.502,0.61,,2
H1106.pdb,H1106TS367_3,B,1,,,,,0.895,0.45899,2,1,,1,0.396,0.9545,1,,,1,0.7684,0.7973,1,0.789,0.508,0.3,,2
H1106.pdb,H1106TS367_3,B,3,,,0.945,0.872,0.895,0.45899,2,0.77,,1,0.396,0.9719,1,,,0.430315613746643,0.8334,0.821,1,0.875,0.502,0.33,,2
H1106.pdb,H1106TS367_3,B,5,0.977476828829498,0.986,0.903,0.772,0.895,0.45899,2,0.21,,1,0.396,0.9812,1,,,0.359577208757401,0.8355,0.8306,1,0.627,0.502,0.45,,2
H1106.pdb,H1106TS367_3,B,8,0.658208332924281,0.474,0.711,0.752,0.895,0.45899,2,0.7,,1,0.394,0.9472,1,,1,0.356684803962708,0.7821,0.7936,1,0.769,0.505,0.6,,2
H1106.pdb,H1106TS367_3,B,9,0.967758575136897,0.986,0.902,0.928,0.895,0.45899,2,0.7,,1,0.394,0.9654,1,,,0.227009519934654,0.8646,0.8177,1,0.603,0.502,0.6,,2
H1106.pdb,H1106TS367_3,B,11,0.615145912663453,0.48,0.754,0.498,0.895,0.45899,2,0.77,,0.98,0.394,0.9739,0.98,,1,0.26257136464119,0.8602,0.797,1,0.491,0.498,0.59,,2
H1106.pdb,H1106TS367_3,B,12,0.721454747021173,0.618,0.871,0.806,0.895,0.45899,2,0.64,,1,0.395,0.9661,1,,1,0.301900267601013,0.8298,0.773,1,0.495,0.498,0.62,,2
H1106.pdb,H1106TS367_3,B,13,0.96709715062127,0.981,0.924,0.91,0.895,0.45899,2,0.31,,1,0.395,0.9808,1,,1,0.250588178634643,0.8525,0.8004,1,0.412,0.505,0.66,,2
H1106.pdb,H1106TS367_3,B,14,0.925976323545046,0.743,0.895,0.834,0.895,0.45899,2,0.55,,1,0.395,0.9708,1,,1,0.298108726739883,0.8552,0.7804,1,0.616,0.617,0.71,,2
H1106.pdb,H1106TS367_3,B,15,0.64239301442404,0.536,0.755,0.391,0.895,0.45899,2,0.62,,0.99,0.395,0.9688,0.99,,1,0.303591370582581,0.8424,0.7594,1,0.663,0.592,0.71,,2
H1106.pdb,H1106TS367_3,B,16,0.949351741847396,0.93,0.831,0.69,0.895,0.45899,2,0.25,,1,0.395,0.9917,1,,,0.281957745552063,0.82,0.7859,1,0.464,0.502,0.71,,2
H1106.pdb,H1106TS367_3,B,18,0.954666445635062,0.786,0.699,0.725,0.895,0.45899,2,0.75,,1,0.395,0.972,1,,,0.272080451250076,0.8068,0.706,1,0.631,0.643,0.66,,2
H1106.pdb,H1106TS367_3,B,21,0.965036880815467,0.905,0.872,0.825,0.895,0.45899,2,0.4,,1,0.395,0.9719,1,,,0.245217904448509,0.8415,0.7859,1,0.411,0.662,0.64,,2
H1106.pdb,H1106TS367_3,B,28,0.95824947848721,0.925,0.824,0.793,0.895,0.45899,2,0.72,,1,0.395,0.9796,1,,,0.21939642727375,0.8266,0.7698,1,0.237,0.502,0.64,,2
H1106.pdb,H1106TS367_3,B,31,0.967231726258935,0.977,0.922,0.759,0.895,0.45899,2,0.67,,1,0.396,0.9771,1,,1,0.251528441905975,0.8619,0.8286,1,0.28,0.502,0.64,,2
H1106.pdb,H1106TS367_3,B,32,0.967497403598481,0.979,0.924,0.907,0.895,0.45899,2,0.58,,1,0.395,0.9813,1,,,0.258565008640289,0.8622,0.7956,1,0.379,0.534,0.62,,2
H1106.pdb,H1106TS367_3,B,34,0.960310125174621,0.95,0.935,0.739,0.895,0.45899,2,0.94,,1,0.395,0.9723,1,,1,0.223614513874054,0.9037,0.8462,1,0.723,0.572,0.67,,2
H1106.pdb,H1106TS367_3,B,35,0.965958229793725,0.985,0.951,0.935,0.895,0.45899,2,1,,1,0.395,0.9795,1,,,0.218708127737045,0.9008,0.8448,1,0.575,0.505,0.63,,2
H1106.pdb,H1106TS367_3,B,38,0.957689767531563,0.925,0.916,0.842,0.895,0.45899,2,0.91,,1,0.396,0.9731,1,,1,0.208999499678612,0.8782,0.8365,1,0.835,0.498,0.65,,2
H1106.pdb,H1106TS367_3,B,39,0.9646769362739,0.956,0.944,0.874,0.895,0.45899,2,0.29,,1,0.395,0.9778,1,,,0.332903176546097,0.8398,0.7939,1,0.821,0.505,0.56,,2
H1106.pdb,H1106TS367_3,B,45,0.923990028035211,0.669,0.927,0.866,0.895,0.45899,2,0.52,,0.85,0.395,0.9785,0.85,,,0.265775382518768,0.8802,0.8342,1,0.335,0.502,0.61,,2
H1106.pdb,H1106TS367_3,B,48,0.981591736184087,0.925,0.908,0.916,0.895,0.45899,2,0.8,,0.99,0.395,0.9737,0.99,,1,0.352443873882294,0.8692,0.7968,1,0.156,0.502,0.72,,2
H1106.pdb,H1106TS367_3,B,49,0.975379560575727,0.905,0.938,0.881,0.895,0.45899,2,0.97,,1,0.395,0.9707,1,,,0.287073761224747,0.8478,0.8054,1,0.27,0.656,0.63,,2
H1106.pdb,H1106TS367_3,B,51,0.981645507234465,0.927,0.923,0.858,0.895,0.45899,2,0.29,,1,0.395,0.9685,1,,1,0.33788526058197,0.882,0.8143,1,0.072,0.608,0.73,,2
H1106.pdb,H1106TS367_3,B,52,0.977425676019698,0.897,0.89,0.766,0.895,0.45899,2,1,,1,0.395,0.9688,1,,1,0.296672880649567,0.8606,0.8244,1,0.095,0.63,0.67,,2
H1106.pdb,H1106TS367_3,B,53,0.971208971443241,0.864,0.888,0.801,0.895,0.45899,2,0.28,,,0.395,0.9643,,,,0.250953167676926,0.8985,0.8472,1,0.106,0.646,0.7,,2
H1106.pdb,H1106TS367_3,B,55,0.962134589610772,0.882,0.875,0.825,0.895,0.45899,2,0.32,,1,0.395,0.963,1,,,0.314474523067474,0.8743,0.8015,1,0.046,0.64,0.56,,2
H1106.pdb,H1106TS367_3,B,79,0.967732569726389,0.929,0.888,0.818,0.895,0.45899,2,0.54,,1,0.397,0.963,1,,,0.257961809635162,0.8564,0.7915,1,0.115,0.498,0.49,,2
H1106.pdb,H1106TS367_3,B,82,0.957493637019042,0.929,0.906,0.907,0.895,0.45899,2,0.7,,1,0.396,0.9649,1,,1,0.283485412597656,0.8436,0.7724,1,0.102,0.498,0.59,,2
H1106.pdb,H1106TS367_3,B,83,0.963992986256562,0.9,0.907,0.792,0.895,0.45899,2,0.46,,1,0.396,0.9666,1,,,0.255262702703476,0.8415,0.7833,1,0.069,0.508,0.55,,2
H1106.pdb,H1106TS367_3,B,86,0.956033220242194,0.948,0.854,0.79,0.895,0.45899,2,0.36,,0.98,0.396,0.9681,0.98,,,0.295029103755951,0.8116,0.7041,1,0.05,0.543,0.58,,2
H1106.pdb,H1106TS367_3,B,89,,,0.788,0.785,0.895,0.45899,2,0.51,,0.29,0.395,0.9257,0.29,,,0.219781368970871,0.8348,0.7229,0,0.038,0.511,0.55,,2
H1106.pdb,H1106TS367_3,B,94,,,0.828,0.852,0.895,0.45899,2,0.4,,0.17,0.397,0.8734,0.17,,,0.476257681846619,0.8559,0.7367,0,0.039,0.502,0.48,,2
H1106.pdb,H1106TS367_3,B,97,,,0.929,0.903,0.895,0.45899,2,0.24,,0.18,0.396,0.9172,0.18,,0,0.300592422485352,0.8401,0.7536,0,0.052,0.566,0.47,,2
H1106.pdb,H1106TS367_3,B,98,,,0.798,0.791,0.895,0.45899,2,0.38,,0.11,0.396,0.9043,0.11,,,0.508703768253326,0.7868,0.6421,0,0.05,0.502,0.54,,2
H1106.pdb,H1106TS367_3,B,101,,,0.88,0.79,0.895,0.45899,2,0.43,,0.93,0.397,0.9326,0.93,,,0.296433717012405,0.8139,0.6913,0,0.108,0.521,0.55,,2
T1109o.pdb,T1109TS374_2o,A,22,0.964409753860456,0.863,0.795,0.706,0.46,0.45899,2,0.38,0.866,1,0.396,0.9901,1,,1,0.226063564419746,0.9275,0.8951,1,0.578,0.633,0.85,0.97,2
T1109o.pdb,T1109TS374_2o,A,23,0.975983892699308,0.943,0.937,0.865,0.46,0.45899,2,1,0.859,1,0.396,0.9895,1,,1,0.285668939352036,0.9325,0.8948,1,0.934,0.669,0.8,0.97,2
T1109o.pdb,T1109TS374_2o,A,24,0.96031683565679,0.853,0.879,0.766,0.46,0.45899,2,0.96,0.832,1,0.397,0.9878,1,,,0.257553488016128,0.9246,0.9039,1,0.456,0.646,0.81,0.97,2
T1109o.pdb,T1109TS374_2o,A,26,0.97976766262605,0.964,0.95,0.91,0.46,0.45899,2,0.23,0.888,0.86,0.396,0.989,0.86,,1,0.256954669952393,0.6027,0.8995,1,0.343,0.62,0.84,0.97,2
T1109o.pdb,T1109TS374_2o,A,27,0.978849247257849,0.948,0.925,0.923,0.46,0.45899,2,0.96,0.887,1,0.397,0.9894,1,,1,0.254148036241531,0.9495,0.9197,1,0.319,0.649,0.84,0.97,2
T1109o.pdb,T1109TS374_2o,A,28,0.957404916071122,0.848,0.899,0.689,0.46,0.45899,2,0.44,0.875,1,0.396,0.9963,1,,,0.232995510101318,0.9386,0.9081,1,0.227,0.627,0.81,0.97,2
T1109o.pdb,T1109TS374_2o,A,30,0.984238061660348,0.96,0.949,0.882,0.46,0.45899,2,0.77,0.88,1,0.396,0.9927,1,,1,0.291259974241257,0.9228,0.8864,1,0.227,0.624,0.81,0.97,2
T1109o.pdb,T1109TS374_2o,A,31,0.954518022003522,0.852,0.92,0.709,0.46,0.45899,2,1,0.825,1,0.395,0.99,1,,,0.229940176010132,0.9355,0.9,1,0.223,0.588,0.88,0.97,2
T1109o.pdb,T1109TS374_2o,A,34,0.98359833131507,0.951,0.954,0.904,0.46,0.45899,2,0.65,0.871,1,0.396,0.9799,1,,,0.275245487689972,0.9137,0.8649,1,0.48,0.617,0.83,0.96,2
T1109o.pdb,T1109TS374_2o,A,47,0.98800238639522,0.931,0.946,0.911,0.46,0.45899,2,0.36,0.871,,0.394,0.9813,,,,0.374488681554794,0.8922,0.8757,1,0.196,0.505,0.76,0.94,2
T1109o.pdb,T1109TS374_2o,A,49,0.987858331618234,0.952,0.961,0.923,0.46,0.45899,2,0.28,0.882,1,0.394,0.9806,1,,,0.37732395529747,0.912,0.8803,1,0.153,0.498,0.77,0.95,2
T1109o.pdb,T1109TS374_2o,A,56,0.962799439119427,0.982,0.955,0.955,0.46,0.45899,2,0.28,0.877,,0.393,0.9845,,,,0.400636315345764,0.885,0.8723,1,0.208,0.492,0.63,0.9,2
T1109o.pdb,T1109TS374_2o,A,60,0.979028560718112,0.946,0.71,0.705,0.46,0.45899,2,0.33,0.804,1,0.394,0.9835,1,,1,0.302047729492188,0.8531,0.8667,1,0.92,0.553,0.81,0.94,2
T1109o.pdb,T1109TS374_2o,A,61,0.980949993519486,0.95,0.882,0.885,0.46,0.45899,2,0.77,0.856,1,0.393,0.9795,1,,1,0.291436165571213,0.8489,0.8597,1,0.984,0.64,0.76,0.92,2
T1109o.pdb,T1109TS374_2o,A,62,0.980962851795435,0.95,0.965,0.876,0.46,0.45899,2,0.23,0.9,0.37,0.393,0.9848,0.37,,1,0.338282167911529,0.921,0.8774,1,0.98,0.585,0.78,,2
T1109o.pdb,T1109TS374_2o,A,63,0.979888830548669,0.953,0.967,0.887,0.46,0.45899,2,0.52,0.869,0.98,0.394,0.9837,0.98,,1,0.426694333553314,0.8756,0.8719,1,0.978,0.601,0.65,0.91,2
T1109o.pdb,T1109TS374_2o,A,64,0.966010292831529,0.983,0.958,0.828,0.46,0.45899,2,0.86,0.897,0.7,0.394,0.982,0.7,,1,0.322117567062378,0.9216,0.876,1,0.749,0.498,0.71,0.89,2
T1109o.pdb,T1109TS374_2o,A,65,0.968548294442226,0.985,0.962,0.891,0.46,0.45899,2,0.31,0.884,0.77,0.394,0.9929,0.77,,1,0.373684793710709,0.9211,0.9015,1,0.661,0.508,0.72,0.93,2
T1109o.pdb,T1109TS374_2o,A,66,0.967746564480526,0.944,0.935,0.887,0.46,0.45899,2,0.86,0.877,0.77,0.394,0.978,0.77,,,0.319832354784012,0.8827,0.859,1,0.437,0.531,0.69,0.92,2
T1109o.pdb,T1109TS374_2o,A,144,0.961331904805106,0.903,0.799,0.84,0.46,0.45899,2,0.57,0.822,1,0.395,0.9851,1,,1,0.326488435268402,0.8476,0.8576,1,0.301,0.601,0.76,0.97,2
T1109o.pdb,T1109TS374_2o,A,145,0.791968037994051,0.341,0.696,0.618,0.46,0.45899,2,0.57,0.787,0.98,0.396,0.9835,0.98,,1,0.378190696239471,0.8758,0.8168,1,0.28,0.588,0.77,0.97,2
T1109o.pdb,T1109TS374_2o,A,146,0.964798992051569,0.373,0.74,0.604,0.46,0.45899,2,0.26,0.875,0.17,0.396,0.9946,0.17,,,0.377366065979004,0.8058,0.8373,1,0.199,0.595,0.61,0.97,2
T1109o.pdb,T1109TS374_2o,A,163,0.672680351112005,0.304,0.696,0.583,0.46,0.45899,2,0.49,0.77,1,0.396,0.9877,1,,,0.323280334472656,0.7989,0.8089,1,0.385,0.595,0.65,0.96,2
T1109o.pdb,T1109TS374_2o,A,165,0.284206799027194,0.15,0.608,0.587,0.46,0.45899,2,0.67,0.786,1,0.397,0.9832,1,,,0.297664046287537,0.831,0.8416,1,0.695,0.55,0.68,0.97,2
T1109o.pdb,T1109TS374_2o,A,176,0.955076340698504,0.799,0.887,0.751,0.46,0.45899,2,0.75,0.857,0.99,0.395,0.9867,0.99,,1,0.388287305831909,0.911,0.8934,1,0.544,0.646,0.73,0.98,2
T1109o.pdb,T1109TS374_2o,A,177,0.960210260453409,0.847,0.811,0.747,0.46,0.45899,2,0.46,0.852,1,0.396,0.9875,1,,1,0.405058741569519,0.866,0.8888,1,0.523,0.611,0.73,0.97,2
T1109o.pdb,T1109TS374_2o,A,178,0.952396146845946,0.824,0.628,0.633,0.46,0.45899,2,0.86,0.816,1,0.397,0.9915,1,,1,0.378822863101959,0.8986,0.8857,1,0.458,0.556,0.83,0.95,2
T1109o.pdb,T1109TS374_2o,A,179,0.867377013553174,0.671,0.671,0.581,0.46,0.45899,2,0.97,0.845,1,0.398,0.9943,1,,1,0.368596374988556,0.8713,0.8971,1,0.376,0.505,0.81,0.96,2
T1109o.pdb,T1109TS374_2o,A,180,0.949961248787335,0.725,0.714,0.663,0.46,0.45899,2,0.75,0.866,1,0.398,0.9941,1,,,0.385591268539429,0.8793,0.882,1,0.696,0.492,0.72,0.97,2
T1109o.pdb,T1109TS374_2o,A,182,0.932783807478713,0.81,0.728,0.622,0.46,0.45899,2,0.67,0.862,1,0.397,0.997,1,,1,0.386867225170135,0.9191,0.8985,1,0.319,0.617,0.8,0.97,2
T1109o.pdb,T1109TS374_2o,A,183,0.103563419840354,0.091,0.81,0.762,0.46,0.45899,2,0.7,0.887,0.99,0.397,0.989,0.99,,,0.310264408588409,0.92,0.8995,1,0.286,0.502,0.8,0.97,2
T1109o.pdb,T1109TS374_2o,A,186,0.035434087012945,0.09,0.873,0.813,0.46,0.45899,2,0.62,0.885,1,0.397,0.9752,1,,1,0.265382528305054,0.9251,0.8776,1,0.13,0.524,0.82,0.97,2
T1109o.pdb,T1109TS374_2o,A,187,0.048074775789741,0.091,0.892,0.716,0.46,0.45899,2,1,0.894,1,0.396,0.9583,1,,,0.174329042434692,0.9263,0.8742,1,0.371,0.521,0.86,0.97,2
T1109o.pdb,T1109TS374_2o,A,190,0,0.087,0.913,0.768,0.46,0.45899,2,0.41,0.893,1,0.396,0.9539,1,,,0.133607685565948,0.8886,0.852,1,0.099,0.492,0.77,0.97,2
T1109o.pdb,T1109TS374_2o,A,195,0,0.057,0.744,0.746,0.46,0.45899,2,0.38,0.807,1,0.396,0.948,1,,,0.057563669979572,0.7974,0.839,1,0.058,0.476,0.64,0.97,2
T1109o.pdb,T1109TS374_2o,A,198,0,0.06,0.861,0.83,0.46,0.45899,2,0.41,0.893,0.99,0.397,0.9637,0.99,,1,0.191609904170036,0.9345,0.8869,1,0.08,0.437,0.71,0.97,2
T1109o.pdb,T1109TS374_2o,A,199,0,0.058,0.716,0.658,0.46,0.45899,2,0.72,0.831,0.97,0.396,0.9656,0.97,,,0.190368294715881,0.9011,0.8378,1,0.075,0.489,0.7,0.97,2
T1109o.pdb,T1109TS374_2o,A,202,0,0.055,0.743,0.647,0.46,0.45899,2,0.77,0.843,0.98,0.397,0.9843,0.98,,1,0.340440183877945,0.8965,0.8771,1,0.115,0.453,0.79,0.97,2
T1109o.pdb,T1109TS374_2o,A,203,0,0.036,0.763,0.621,0.46,0.45899,2,0.64,0.834,0.95,0.398,0.9945,0.95,,1,0.306302309036255,0.8739,0.8572,1,0.235,0.453,0.74,0.96,2
T1109o.pdb,T1109TS374_2o,A,204,0.935334164438177,0.821,0.7,0.834,0.46,0.45899,2,0.28,0.837,0.99,0.398,0.9954,0.99,,1,0.324183195829391,0.8519,0.8627,1,0.404,0.572,0.75,0.97,2
T1109o.pdb,T1109TS374_2o,A,205,0.94178979638822,0.823,0.708,0.703,0.46,0.45899,2,0.99,0.849,1,0.398,0.9921,1,,1,0.342172741889954,0.9259,0.8911,1,0.246,0.595,0.82,0.97,2
T1109o.pdb,T1109TS374_2o,A,206,0.938856611985857,0.802,0.696,0.697,0.46,0.45899,2,1,0.798,1,0.397,0.9903,1,,1,0.379584699869156,0.8982,0.8702,1,0.336,0.492,0.72,0.96,2
T1109o.pdb,T1109TS374_2o,A,207,0.858414660466913,0.651,0.677,0.714,0.46,0.45899,2,0.84,0.804,1,0.398,0.9924,1,,1,0.396103858947754,0.7753,0.8562,1,0.194,0.502,0.72,0.96,2
T1109o.pdb,T1109TS374_2o,A,208,0.121215403483188,0.077,0.538,0.438,0.46,0.45899,2,0.4,0.755,0.98,0.397,0.9939,0.98,,1,0.407654345035553,0.8462,0.817,1,0.216,0.28,0.44,0.95,2
T1109o.pdb,T1109TS374_2o,A,209,0.134520602455417,0.066,0.428,0.376,0.46,0.45899,2,1,0.802,0.97,0.396,0.9904,0.97,,1,0.387683510780334,0.7642,0.8652,1,0.133,0.286,0.54,0.95,2
T1109o.pdb,T1109TS374_2o,A,210,0.064156328883226,0.12,0.287,0.452,0.46,0.45899,2,0.7,0.79,0.96,0.396,0.9871,0.96,,1,0.314197272062302,0.8721,0.8436,1,0.135,0.27,0.52,0.95,2
T1109o.pdb,T1109TS374_2o,A,211,0.043288376587536,0.07,0.444,0.737,0.46,0.45899,2,0.57,0.784,0.97,0.395,0.9869,0.97,,1,0.302479118108749,0.8775,0.8485,1,0.14,0.235,0.54,0.95,2
T1109o.pdb,T1109TS374_2o,A,212,0,0.08,0.283,0.245,0.46,0.45899,2,1,0.794,1,0.395,0.975,1,,1,0.207021951675415,0.8348,0.8275,1,0.19,0.257,0.64,0.96,2
T1109o.pdb,T1109TS374_2o,A,213,0,0.055,0.199,0.299,0.46,0.45899,2,0.77,0.772,0.99,0.396,0.9692,0.99,,,0.199560612440109,0.865,0.7896,1,0.285,0.257,0.51,0.96,2
T1109o.pdb,T1109TS374_2o,A,215,0,0.04,0.251,0.04,0.46,0.45899,2,0.64,0.763,0.93,0.396,0.9851,0.93,,,0.157809764146805,0.8676,0.8076,1,0.54,0.338,0.38,0.94,2
T1109o.pdb,T1109TS374_2o,A,217,0.467786038582132,0.151,0.158,0.152,0.46,0.45899,2,0.46,0.781,0.96,0.397,0.9941,0.96,,0,0.231101930141449,0.8849,0.8421,1,0.696,0.498,0.51,0.94,2
T1109o.pdb,T1109TS374_2o,A,218,0,0.021,0.232,0.684,0.46,0.45899,2,0.26,0.81,0.94,0.397,0.9792,0.94,,,0.217189624905586,0.8811,0.8246,0,0.739,0.502,0.45,0.93,2
T1109o.pdb,T1109TS374_2o,B,22,0.961473190209862,0.866,0.798,0.702,0.46,0.45899,2,0.38,0.813,1,0.398,0.9919,1,,1,0.226695373654366,0.927,0.8959,1,0.372,0.63,0.85,0.97,2
T1109o.pdb,T1109TS374_2o,B,23,0.977731550778678,0.943,0.939,0.887,0.46,0.45899,2,1,0.845,1,0.398,0.992,1,,1,0.277260422706604,0.9324,0.896,1,0.825,0.662,0.8,0.97,2
T1109o.pdb,T1109TS374_2o,B,24,0.954518022003521,0.852,0.885,0.759,0.46,0.45899,2,0.76,0.804,1,0.399,0.991,1,,,0.258632510900497,0.9254,0.9055,1,0.612,0.643,0.81,0.96,2
T1109o.pdb,T1109TS374_2o,B,26,0.979743827531741,0.965,0.948,0.907,0.46,0.45899,2,0.23,0.85,0.88,0.399,0.9909,0.88,,1,0.247352197766304,0.6031,0.9005,1,0.252,0.617,0.83,0.97,2
T1109o.pdb,T1109TS374_2o,B,27,0.978849247257849,0.947,0.932,0.908,0.46,0.45899,2,0.96,0.875,1,0.399,0.9909,1,,1,0.246689543128014,0.9462,0.9154,1,0.432,0.643,0.84,0.97,2
